# This file was automatically generated by https://test.masterlens.org/ and should not be edited by hand. File was created on 2022-11-03.
# "system_name"	 "discovery_date"	 "alternate_name"	 "kind_acronym"	 "discovery_acronym"	 "reference_identifier"	 "ra_hrs"	 "ra_mins"	 "ra_secs"	 "ra_coord"	 "dec_degrees"	 "dec_arcmin"	 "dec_arcsec"	 "dec_coord"	 "lensgrade"	 "number_images"	 "theta_e"	 "theta_e_err"	 "theta_e_quality"	 "z_lens"	 "z_lens_err"	 "z_lens_quality"	 "z_source"	 "z_source_err"	 "z_source_quality"	 "vdisp"	 "vdisp_err"	 "filter_lens"	 "filter_source"	 "fluxes"	 "mag_lens"	 "mag_source"	 "morphology"	 "has_sdss"	 "sdss_link"	 "has_adsabs"	 "adsabs_link"	 "apod_link"	 "vett_status"	 "released_status"	 "hidden_status"	 "vetted"	 "released"	 "hidden"	 "graphic_status"	 "equinox"	 "sdss_ObjID"	 "sdss_specObjID"	 "time_delay0"	 "time_delay1"	 "lens_name"
"J2146-0047"	 ""	 "SDSS J2146&minus;0047"	 "GAL-QSO"	 ""	 "MNRAS454(2015)1260"	 ""	 ""	 ""	 NaN	 ""	 ""	 ""	 NaN	 ""	 0	 0.71	 NaN	 1	 0.799	 NaN	 0	 2.381	 NaN	 0	 215	 NaN	 ""	 ""	 NaN	 ""	 ""	 ""	 "0"	 ""	 "0"	 ""	 ""	 "0"	 "1"	 "0"	 ""	 ""	 ""	 "0"	 "J2000"	 ""	 ""	 NaN	 NaN	 "J2146-0047"
"J0000+2832"	 ""	 "SDSSJ0000+2832"	 "GAL-GAL"	 "SILO"	 "2021MNRAS.502.4617T"	 "00"	 "00"	 "25.55"	 0.106464	 "+28"	 "32"	 "11.94"	 28.53665	 ""	 0	 NaN	 NaN	 0	 0.3507	 NaN	 0	 1.171	 NaN	 0	 NaN	 NaN	 ""	 ""	 NaN	 ""	 ""	 ""	 "0"	 ""	 "0"	 ""	 ""	 "0"	 "1"	 "0"	 ""	 ""	 ""	 "0"	 "J2000"	 ""	 ""	 NaN	 NaN	 "J0000+2832"
"J0000-3502"	 ""	 "KIDSJ0000&minus;3502"	 "GAL-QSO"	 "KiDS-SQuaD"	 "A&amp;A632A(2019)56"	 "00"	 "00"	 "57.1"	 0.237917	 "-35"	 "02"	 "54.15"	 -35.048375	 ""	 0	 0.5	 NaN	 2	 NaN	 NaN	 0	 NaN	 NaN	 0	 NaN	 NaN	 ""	 ""	 NaN	 ""	 ""	 ""	 "0"	 ""	 "0"	 ""	 ""	 "0"	 "1"	 "0"	 ""	 ""	 ""	 "0"	 "J2000"	 ""	 ""	 NaN	 NaN	 "J0000-3502"
"J0001-3340"	 ""	 ""	 ""	 ""	 "MNRAS484(2019)3879P"	 "00"	 "01"	 "0.78"	 0.25325	 "-33"	 "40"	 "23.38"	 -33.67316	 ""	 0	 NaN	 NaN	 0	 NaN	 NaN	 0	 NaN	 NaN	 0	 NaN	 NaN	 ""	 ""	 NaN	 ""	 ""	 ""	 "0"	 ""	 "0"	 ""	 ""	 "0"	 "1"	 "0"	 ""	 ""	 ""	 "0"	 "J2000"	 ""	 ""	 NaN	 NaN	 "J0001-3340"
"J0001-3321"	 ""	 ""	 ""	 ""	 "MNRAS484(2019)3879P"	 "00"	 "01"	 "13.12"	 0.30467	 "-33"	 "21"	 "58.75"	 -33.36632	 ""	 0	 NaN	 NaN	 0	 NaN	 NaN	 0	 NaN	 NaN	 0	 NaN	 NaN	 ""	 ""	 NaN	 ""	 ""	 ""	 "0"	 ""	 "0"	 ""	 ""	 "0"	 "1"	 "0"	 ""	 ""	 ""	 "0"	 "J2000"	 ""	 ""	 NaN	 NaN	 "J0001-3321"
"J0001-3010"	 ""	 ""	 ""	 ""	 "MNRAS484(2019)3879P"	 "00"	 "01"	 "16.39"	 0.31831	 "-30"	 "10"	 "36.41"	 -30.17678	 ""	 0	 NaN	 NaN	 0	 NaN	 NaN	 0	 NaN	 NaN	 0	 NaN	 NaN	 ""	 ""	 NaN	 ""	 ""	 ""	 "0"	 ""	 "0"	 ""	 ""	 "0"	 "1"	 "0"	 ""	 ""	 ""	 "0"	 "J2000"	 ""	 ""	 NaN	 NaN	 "J0001-3010"
"J0001-3208"	 ""	 ""	 ""	 ""	 "MNRAS484(2019)3879P"	 "00"	 "01"	 "16.44"	 0.31852	 "-32"	 "08"	 "32.75"	 -32.14243	 ""	 0	 NaN	 NaN	 0	 NaN	 NaN	 0	 NaN	 NaN	 0	 NaN	 NaN	 ""	 ""	 NaN	 ""	 ""	 ""	 "0"	 ""	 "0"	 ""	 ""	 "0"	 "1"	 "0"	 ""	 ""	 ""	 "0"	 "J2000"	 ""	 ""	 NaN	 NaN	 "J0001-3208"
"J0001-5549"	 ""	 "J000128.98&minus;554959.1"	 "GAL-QSO"	 ""	 "MNRAS489(2019)2525"	 "00"	 "01"	 "28.98"	 0.37075	 "-55"	 "49"	 "59.1"	 -55.833083	 ""	 0	 NaN	 NaN	 0	 NaN	 NaN	 0	 NaN	 NaN	 0	 NaN	 NaN	 ""	 ""	 NaN	 ""	 ""	 ""	 "0"	 ""	 "0"	 ""	 ""	 "0"	 "1"	 "0"	 ""	 ""	 ""	 "0"	 "J2000"	 ""	 ""	 NaN	 NaN	 "J0001-5549"
"J0001-0002"	 ""	 "HSCJ0001-0002"	 "CLUST-GAL"	 "SuGOHI"	 "MNRAS495(2020)1291"	 "00"	 "01"	 "29.64"	 0.3735	 "-00"	 "02"	 "41.64"	 -0.0449	 ""	 0	 NaN	 NaN	 0	 0.247	 NaN	 0	 NaN	 NaN	 0	 NaN	 NaN	 ""	 ""	 NaN	 ""	 ""	 ""	 "0"	 ""	 "0"	 ""	 ""	 "0"	 "1"	 "0"	 ""	 ""	 ""	 "0"	 "J2000"	 ""	 ""	 NaN	 NaN	 "J0001-0002"
"J0001-3221"	 ""	 ""	 ""	 ""	 "MNRAS484(2019)3879P"	 "00"	 "01"	 "32.87"	 0.38695	 "-32"	 "21"	 "46.04"	 -32.36279	 ""	 0	 NaN	 NaN	 0	 NaN	 NaN	 0	 NaN	 NaN	 0	 NaN	 NaN	 ""	 ""	 NaN	 ""	 ""	 ""	 "0"	 ""	 "0"	 ""	 ""	 "0"	 "1"	 "0"	 ""	 ""	 ""	 "0"	 "J2000"	 ""	 ""	 NaN	 NaN	 "J0001-3221"
"J0002+2531"	 ""	 "SDSSJ0002+2531"	 "GAL-GAL"	 "SILO"	 "2021MNRAS.502.4617T"	 "00"	 "02"	 "3.79"	 0.515802	 "+25"	 "31"	 "25.1"	 25.523638	 ""	 0	 NaN	 NaN	 0	 0.5091	 NaN	 0	 1.1571	 NaN	 0	 NaN	 NaN	 ""	 ""	 NaN	 ""	 ""	 ""	 "0"	 ""	 "0"	 ""	 ""	 "0"	 "1"	 "0"	 ""	 ""	 ""	 "0"	 "J2000"	 ""	 ""	 NaN	 NaN	 "J0002+2531"
